name,pts,ast,reb,blk,stl,sal,age,mp,fga
Larry Nance Jr.,5.7,1.9,5.0,0.3,1.0,10375000.0,31,19.9,4.0
Pete Nance,0.4,0.0,0.4,0.0,0.1,64343.0,23,3.4,0.8
Andrew Nembhard,9.2,4.1,2.1,0.1,0.9,2131905.0,24,25.0,7.7
Aaron Nesmith,12.2,1.5,3.8,0.7,0.9,5634257.0,24,27.7,8.8
Georges Niang,9.4,1.2,3.4,0.2,0.4,8800000.0,30,22.3,7.7
Zeke Nnaji,3.2,0.6,2.2,0.7,0.3,4306281.0,23,9.9,2.6
Frank Ntilikina,1.0,0.8,1.2,0.0,0.0,2019706.0,25,8.6,1.8
Jusuf Nurkić,10.9,4.0,11.0,1.1,1.1,16875000.0,29,27.3,8.3
Jordan Nwora,7.0,1.2,2.9,0.3,0.5,3000000.0,25,13.7,5.8
Royce O'Neale,7.7,2.8,4.8,0.6,0.7,9500000.0,30,24.7,6.8
Chuma Okeke,2.3,0.4,1.7,0.1,0.2,5266713.0,25,9.2,2.4
Josh Okogie,4.6,1.1,2.6,0.4,0.8,2815937.0,25,16.0,3.4
Onyeka Okongwu,10.2,1.3,6.8,1.1,0.5,8109063.0,23,25.5,6.6
Isaac Okoro,9.4,1.9,3.0,0.5,0.8,8920795.0,23,27.3,7.0
Kelly Olynyk,9.8,4.4,5.3,0.4,0.9,12195122.0,32,22.6,6.4
Eugene Omoruyi,4.8,0.8,2.0,0.1,0.6,900000.0,26,9.1,3.9
Cedi Osman,6.8,1.7,2.5,0.2,0.5,6718842.0,28,17.6,5.3
Kelly Oubre Jr.,15.4,1.5,5.0,0.7,1.1,2019706.0,28,30.2,12.9
Chris Paul,9.2,6.8,3.9,0.1,1.2,30800000.0,38,26.4,8.1
Cameron Payne,7.4,2.6,1.5,0.1,0.5,8519706.0,29,16.7,6.2
Gary Payton II,5.5,1.1,2.6,0.4,0.9,8715000.0,31,15.5,4.2
Filip Petrušev,1.0,0.0,0.3,0.0,0.0,559782.0,23,3.3,0.7
Julian Phillips,2.2,0.3,0.9,0.2,0.2,1600000.0,20,8.1,1.9
Jalen Pickett,1.6,0.8,0.5,0.0,0.1,1708143.0,24,4.5,1.3
Mason Plumlee,5.3,1.2,5.1,0.4,0.3,5000000.0,33,14.7,3.3
Brandin Podziemski,9.2,3.7,5.8,0.2,0.8,3352440.0,20,26.6,8.1
Jakob Poeltl,11.1,2.5,8.6,1.5,0.7,19500000.0,28,26.4,7.6
Aleksej Pokusevski,5.2,1.3,3.2,0.5,0.5,5574809.0,22,14.5,4.3
Jordan Poole,17.4,4.4,2.7,0.3,1.1,27455357.0,24,30.1,15.2
Craig Porter Jr.,5.6,2.3,2.1,0.3,0.4,1500000.0,23,12.7,4.5
Michael Porter Jr.,16.7,1.5,7.0,0.7,0.5,33386850.0,25,31.7,13.3
Otto Porter Jr.,2.6,0.5,1.9,0.3,0.3,6300000.0,30,11.6,2.2
Bobby Portis,13.8,1.3,7.4,0.4,0.8,11710818.0,28,24.5,11.2
Kristaps Porziņģis,20.1,2.0,7.2,1.9,0.7,36016200.0,28,29.6,13.2
Dwight Powell,3.3,1.3,3.4,0.3,0.4,4000000.0,32,13.3,1.7
Norman Powell,13.9,1.1,2.6,0.3,0.6,18000000.0,30,26.2,10.1
Joshua Primo,1.0,0.0,0.5,0.5,0.0,6105941.0,21,5.0,1.5
Taurean Prince,8.9,1.5,2.9,0.4,0.7,4516000.0,29,27.0,7.3
Payton Pritchard,9.6,3.4,3.2,0.1,0.5,4037277.0,26,22.3,7.7
Olivier-Maxence Prosper,3.0,0.6,2.0,0.1,0.2,2733720.0,21,8.4,2.6
Neemias Queta,5.5,0.7,4.4,0.8,0.5,331253.0,24,11.9,3.7
Immanuel Quickley,17.0,4.9,3.8,0.1,0.7,4171548.0,24,29.2,13.1
Lester Quinones,4.4,1.0,1.9,0.1,0.2,548815.0,23,10.6,3.8
Julius Randle,24.0,5.0,9.2,0.3,0.5,28226880.0,29,35.4,18.2
Duop Reath,9.1,1.0,3.7,0.6,0.5,1951220.0,27,17.9,7.3
Austin Reaves,15.9,5.5,4.3,0.3,0.8,12015150.0,25,32.1,11.5
Cam Reddish,5.4,1.0,2.1,0.3,1.0,2165000.0,24,20.5,4.9
Paul Reed,7.3,1.3,6.0,1.0,0.8,7723000.0,24,19.4,5.9
Naz Reid,13.5,1.3,5.2,0.9,0.8,12950400.0,24,24.2,10.5
Nick Richards,9.7,0.8,8.0,1.1,0.4,5000000.0,26,26.3,5.6
Josh Richardson,9.9,2.4,2.8,0.3,0.6,2891467.0,30,25.7,8.1
Duncan Robinson,12.9,2.8,2.5,0.2,0.7,18154000.0,29,28.0,9.9
Mitchell Robinson,5.6,0.6,8.5,1.1,1.2,15681818.0,25,24.8,4.1
Orlando Robinson,2.8,0.9,2.3,0.2,0.2,1801769.0,23,8.4,2.0
Jeremiah Robinson-Earl,2.9,0.5,1.9,0.1,0.3,684843.0,23,8.6,2.4
David Roddy,6.5,1.2,3.2,0.2,0.4,2718240.0,22,18.1,6.3
Ryan Rollins,3.4,1.1,1.0,0.2,0.8,1719864.0,21,6.0,2.1
Derrick Rose,8.0,3.3,1.9,0.1,0.3,3196448.0,35,16.6,6.9
Terry Rozier,19.8,5.6,4.0,0.3,1.0,23205221.0,29,33.4,16.4
Rayan Rupert,4.0,1.6,2.4,0.1,0.3,1119563.0,19,16.2,4.1
D'Angelo Russell,18.0,6.3,3.1,0.5,0.9,17307693.0,27,32.7,14.2
Matt Ryan,5.4,0.6,1.4,0.0,0.2,1500000.0,26,13.9,4.0
Domantas Sabonis,19.4,8.2,13.7,0.6,0.9,30600000.0,27,35.7,13.0
Luka Šamanić,4.1,0.4,2.4,0.2,0.1,2066585.0,24,9.4,3.7
Gui Santos,3.6,0.6,2.1,0.1,0.2,1029483.0,21,8.3,2.4
Dario Šarić,8.0,2.3,4.4,0.2,0.5,2019706.0,29,17.2,6.1
Marcus Sasser,8.3,3.3,1.8,0.2,0.6,2624040.0,23,19.0,7.2
Dennis Schröder,14.0,6.1,3.0,0.2,0.8,12405000.0,30,31.1,11.6
Alperen Sengun,21.1,5.0,9.3,0.7,1.2,3536280.0,21,32.5,15.6
Brice Sensabaugh,7.5,1.7,3.2,0.2,0.4,2448600.0,20,18.3,6.8
Collin Sexton,18.7,4.9,2.6,0.2,0.8,17325000.0,25,26.6,13.3
Landry Shamet,7.1,1.2,1.3,0.2,0.5,10250000.0,26,15.8,6.0
Day'Ron Sharpe,6.8,1.4,6.4,0.7,0.4,2210040.0,22,15.1,4.8
Shaedon Sharpe,15.9,2.9,5.0,0.4,0.9,6313800.0,20,33.1,13.6
Ben Sheppard,4.4,0.9,1.6,0.0,0.6,2537160.0,22,14.3,4.0
Pascal Siakam,21.7,4.3,7.1,0.3,0.8,37893408.0,29,33.2,15.9
Ben Simmons,6.1,5.7,7.9,0.6,0.8,37893408.0,27,23.9,4.9
Anfernee Simons,22.6,5.5,3.6,0.1,0.5,24107143.0,24,34.4,18.2
Jericho Sims,2.0,0.6,3.3,0.4,0.2,1927896.0,25,13.0,1.2
Marcus Smart,14.5,4.3,2.7,0.3,2.1,18833713.0,29,30.3,11.9
Dennis Smith Jr.,6.6,3.6,2.9,0.2,1.2,2019706.0,26,18.9,6.0
Dru Smith,4.3,1.6,1.6,0.3,1.0,1801769.0,26,14.6,3.7
Ish Smith,3.2,3.4,1.8,0.1,0.4,2019706.0,35,17.2,3.7
Jabari Smith Jr.,13.7,1.6,8.1,0.8,0.7,9326520.0,20,31.9,11.0
Jalen Smith,9.9,1.0,5.5,0.6,0.3,5043773.0,23,17.2,6.5
Nick Smith Jr.,5.9,1.2,1.4,0.1,0.2,2463960.0,19,14.3,5.7
Jeremy Sochan,11.6,3.4,6.4,0.5,0.8,5316960.0,20,29.6,10.5
Jaden Springer,3.3,0.9,1.6,0.3,0.7,2226240.0,21,10.3,3.0
Lamar Stevens,7.2,0.7,3.3,0.6,0.6,2419706.0,26,14.7,6.3
Isaiah Stewart,10.9,1.6,6.6,0.8,0.4,5266713.0,22,30.9,8.3
Julian Strawther,4.5,0.9,1.2,0.1,0.3,2431080.0,21,10.9,4.4
Max Strus,12.2,4.0,4.8,0.4,0.9,14487684.0,27,32.0,10.4
Jalen Suggs,12.6,2.7,3.1,0.6,1.4,7252080.0,22,27.0,9.5
Jae'Sean Tate,4.1,1.0,3.0,0.2,0.6,6500000.0,28,15.9,3.5
Jayson Tatum,26.9,4.9,8.1,0.6,1.0,32600060.0,25,35.7,19.3
Terry Taylor,1.5,0.3,1.2,0.1,0.2,2019706.0,24,6.1,1.3
Garrett Temple,3.3,1.0,1.7,0.1,0.4,2019706.0,37,10.7,2.9
Dalen Terry,3.1,1.4,1.9,0.3,0.5,3350760.0,21,11.5,2.7
Daniel Theis,6.3,1.0,4.1,0.9,0.4,8670002.0,31,16.9,4.9
Cam Thomas,22.5,2.9,3.2,0.2,0.7,2240160.0,22,31.4,18.0
Isaiah Thomas,1.3,0.5,0.0,0.0,0.0,301795.0,34,3.2,1.7
Amen Thompson,9.5,2.6,6.6,0.6,1.3,8809320.0,21,22.4,7.2
Ausar Thompson,8.8,1.9,6.4,0.9,1.1,7977480.0,21,25.1,7.6
Klay Thompson,17.9,2.3,3.3,0.5,0.6,43219440.0,33,29.7,14.7
Tristan Thompson,3.3,1.0,3.6,0.3,0.2,2019706.0,32,11.2,2.4
JT Thor,3.2,0.5,2.3,0.4,0.2,1836096.0,21,12.4,2.9
Matisse Thybulle,5.4,1.4,2.1,0.8,1.7,10500000.0,26,22.9,4.9
Xavier Tillman Sr.,5.3,1.4,3.9,0.8,0.9,1930681.0,25,18.0,5.2
Obi Toppin,10.3,1.6,3.9,0.5,0.6,6803012.0,25,21.1,7.1
Juan Toscano-Anderson,0.6,0.4,1.3,0.1,0.1,439581.0,30,4.8,1.1
Karl-Anthony Towns,21.8,3.0,8.3,0.7,0.7,36016200.0,28,32.7,15.3
Gary Trent Jr.,13.7,1.7,2.6,0.1,1.1,18560000.0,25,28.1,11.9
P.J. Tucker,1.7,0.5,2.7,0.2,0.5,11014500.0,38,15.7,1.6
Myles Turner,17.1,1.3,6.9,1.9,0.5,20975000.0,27,27.0,11.8
Hunter Tyson,1.1,0.1,0.5,0.0,0.1,1119563.0,23,2.7,1.1
Stanley Umude,5.3,0.5,2.1,0.3,0.3,538460.0,24,12.8,3.5
Jonas Valančiūnas,12.2,2.1,8.8,0.8,0.4,15435000.0,31,23.5,8.8
Jarred Vanderbilt,5.2,1.2,4.8,0.2,1.2,4698000.0,24,20.0,3.9
Fred VanVleet,17.4,8.1,3.8,0.8,1.4,40806300.0,29,36.8,13.9
Devin Vassell,19.5,4.1,3.8,0.3,1.1,5887899.0,23,33.1,15.5
Sasha Vezenkov,5.4,0.5,2.3,0.2,0.5,6341464.0,28,12.2,4.5
Gabe Vincent,3.1,1.9,0.8,0.0,0.8,10500000.0,27,19.8,4.5
Nikola Vučević,18.0,3.3,10.5,0.8,0.7,18518519.0,33,34.3,15.9
Tristan Vukcevic,8.5,1.3,3.6,0.7,0.5,2424892.0,20,15.3,6.7
Dean Wade,5.4,0.8,4.0,0.5,0.7,5709877.0,27,20.5,4.3
Franz Wagner,19.7,3.7,5.3,0.4,1.1,5508720.0,22,32.5,15.2
Moritz Wagner,10.9,1.2,4.3,0.3,0.5,8000000.0,26,17.7,6.9
Ish Wainright,2.1,0.1,1.3,0.1,0.4,1927896.0,29,5.6,2.2
Jabari Walker,8.9,1.0,7.1,0.3,0.6,1719864.0,21,23.6,7.1
Jarace Walker,3.6,1.2,1.9,0.3,0.5,6059520.0,20,10.3,3.3
Lonnie Walker IV,9.7,1.3,2.2,0.3,0.6,2019706.0,25,17.4,8.5
Cason Wallace,6.8,1.5,2.3,0.5,0.9,5291400.0,20,20.6,5.4
Jordan Walsh,1.7,0.6,2.2,0.1,0.6,1119563.0,19,9.2,1.7
T.J. Warren,3.7,0.8,2.0,0.1,0.4,452693.0,30,11.4,3.7
P.J. Washington,12.9,1.9,5.6,0.8,1.0,16847826.0,25,30.4,11.1
TyTy Washington Jr.,1.3,0.5,0.5,0.0,0.3,2320440.0,22,5.1,1.8
Yuta Watanabe,3.4,0.4,1.6,0.2,0.4,2346614.0,29,13.6,3.4
Lindy Waters III,3.6,0.6,1.1,0.2,0.1,766095.0,26,7.4,2.7
Trendon Watford,6.9,1.3,3.1,0.3,0.4,2019706.0,23,13.6,4.9
Peyton Watson,6.7,1.1,3.2,1.1,0.5,2303520.0,21,18.6,5.6
Victor Wembanyama,21.4,3.9,10.6,3.6,1.2,12160680.0,20,29.7,16.7
Blake Wesley,4.4,2.7,1.5,0.1,0.5,2504640.0,20,14.4,3.5
Russell Westbrook,11.1,4.5,5.0,0.3,1.1,3835738.0,35,22.5,9.8
Coby White,19.1,5.1,4.5,0.2,0.7,11111111.0,23,36.5,15.3
Derrick White,15.2,5.2,4.2,1.2,1.0,18357143.0,29,32.6,11.5
Jack White,1.5,0.3,3.0,0.3,1.0,600000.0,26,16.0,4.0
Cam Whitmore,12.3,0.7,3.8,0.4,0.6,3218160.0,19,18.7,9.9
Aaron Wiggins,6.9,1.1,2.4,0.2,0.7,1836096.0,25,15.7,4.8
Andrew Wiggins,13.2,1.7,4.5,0.6,0.6,24330357.0,28,27.0,11.0
Grant Williams,10.3,2.3,4.2,0.5,0.6,12405000.0,25,28.0,8.0
Jalen Williams,19.1,4.5,4.0,0.6,1.1,4558680.0,22,31.3,14.0
Jaylin Williams,4.0,1.6,3.4,0.4,0.4,2000000.0,21,13.0,3.3
Kenrich Williams,4.7,1.3,3.0,0.1,0.6,6175000.0,29,14.9,4.1
Malik Williams,2.7,0.3,5.4,0.6,0.4,77212.0,25,15.3,4.9
Mark Williams,12.7,1.2,9.7,1.1,0.8,3908160.0,22,26.7,7.9
Patrick Williams,10.0,1.5,3.9,0.8,0.9,9835881.0,22,27.3,8.3
Robert Williams,6.8,0.8,6.3,1.2,1.2,11571429.0,26,19.8,4.3
Vince Williams Jr.,10.0,3.4,5.6,0.7,0.9,2232308.0,23,27.6,7.3
Ziaire Williams,8.2,1.5,3.5,0.2,0.7,4810200.0,22,20.4,7.4
Zion Williamson,22.9,5.0,5.8,0.7,1.1,34005250.0,23,31.5,15.6
Jalen Wilson,5.0,1.0,3.0,0.1,0.3,850000.0,23,15.4,4.2
Dylan Windler,2.5,0.6,0.9,0.0,0.1,2019706.0,27,6.4,1.8
James Wiseman,7.1,0.9,5.3,0.6,0.2,12119440.0,22,17.3,4.8
Christian Wood,6.9,1.0,5.1,0.7,0.3,2709849.0,28,17.4,5.3
Delon Wright,4.5,2.5,1.8,0.2,1.1,8856750.0,31,15.8,4.0
Thaddeus Young,4.2,1.7,3.1,0.2,0.7,8638413.0,35,13.3,3.3
Trae Young,25.7,10.8,2.8,0.2,1.3,40064220.0,25,36.0,18.7
Omer Yurtseven,4.6,0.6,4.3,0.4,0.2,2800000.0,25,11.4,3.8
Cody Zeller,1.8,0.9,2.6,0.1,0.2,2019706.0,31,7.4,1.4
Ivica Zubac,11.7,1.4,9.2,1.2,0.3,10933333.0,26,26.4,7.6
