name,pts,ast,reb,blk,stl,sal,age,mp,fga
Clint Capela,11.5,1.2,10.6,1.5,0.6,20616000.0,29,25.8,8.5
Jevon Carter,5.0,1.3,0.8,0.2,0.5,6190476.0,28,13.9,5.1
Wendell Carter Jr.,11.0,1.7,6.9,0.5,0.6,13050000.0,24,25.6,7.7
Alex Caruso,10.1,3.5,3.8,1.0,1.7,9460000.0,29,28.7,7.6
Julian Champagnie,6.8,1.4,2.8,0.6,0.6,3000000.0,22,19.8,5.4
Max Christie,4.2,0.9,2.1,0.3,0.3,1719864.0,20,14.1,3.6
Sidy Cissoko,3.8,0.8,1.8,0.3,0.6,1119563.0,19,11.8,2.8
Brandon Clarke,11.3,1.5,5.3,1.0,0.8,12500000.0,27,22.3,9.8
Jordan Clarkson,17.1,5.0,3.4,0.1,0.6,23487629.0,31,30.6,14.8
Nic Claxton,11.8,2.1,9.9,2.1,0.6,9625000.0,24,29.8,8.2
Noah Clowney,5.8,0.8,3.5,0.7,0.3,3089520.0,19,16.1,4.0
Amir Coffey,6.6,1.1,2.1,0.2,0.6,3666667.0,26,20.9,5.0
John Collins,15.1,1.1,8.5,0.9,0.6,25340000.0,26,28.0,11.0
Zach Collins,11.2,2.8,5.4,0.8,0.5,7700000.0,26,22.1,8.9
Mike Conley,11.4,5.9,2.9,0.2,1.2,24360000.0,36,28.9,8.5
Pat Connaughton,5.6,2.1,3.1,0.3,0.5,9423869.0,31,22.1,4.6
Bilal Coulibaly,8.4,1.7,4.1,0.8,0.9,6614280.0,19,27.2,6.9
Ricky Council IV,5.4,0.5,1.4,0.0,0.3,864353.0,22,9.0,3.5
Robert Covington,4.4,0.8,3.3,0.6,1.3,11692308.0,33,16.8,3.4
Torrey Craig,5.7,1.1,4.1,0.4,0.6,2528233.0,33,19.8,4.7
Jae Crowder,6.2,1.3,3.2,0.2,0.8,2019706.0,33,23.1,5.4
Cade Cunningham,22.7,7.5,4.3,0.4,0.9,11055360.0,22,33.5,18.8
Seth Curry,5.1,1.0,1.5,0.1,0.5,4000000.0,33,14.0,4.6
Stephen Curry,26.4,5.1,4.5,0.4,0.7,51915615.0,35,32.7,19.5
Dyson Daniels,5.8,2.7,3.9,0.4,1.4,5784120.0,20,22.3,5.1
Anthony Davis,24.7,3.5,12.6,2.3,1.2,40600080.0,30,35.5,16.9
Johnny Davis,3.0,0.6,1.4,0.2,0.4,5050800.0,21,12.3,3.1
DeMar DeRozan,24.0,5.3,4.3,0.6,1.1,28600000.0,34,37.8,17.2
Mamadi Diakite,2.0,0.3,0.7,0.2,0.2,368600.0,27,4.0,1.0
Hamidou Diallo,1.0,0.5,1.0,0.0,1.0,116075.0,25,2.5,1.0
Gradey Dick,8.5,1.1,2.2,0.0,0.6,4536720.0,20,21.1,7.4
Ousmane Dieng,4.0,1.1,1.5,0.2,0.2,4798440.0,20,11.1,3.5
Spencer Dinwiddie,10.5,4.7,2.7,0.3,0.7,21911797.0,30,28.3,8.4
Donte DiVincenzo,15.5,2.7,3.7,0.4,1.3,10900000.0,27,29.1,12.4
Luka Dončić,33.9,9.8,9.2,0.5,1.4,40064220.0,24,37.5,23.6
Luguentz Dort,10.9,1.4,3.6,0.6,0.9,15277778.0,24,28.4,8.3
Ayo Dosunmu,12.2,3.2,2.8,0.5,0.9,6481482.0,24,29.1,9.5
Jeff Dowtin,4.3,2.3,1.7,0.1,0.6,2196970.0,26,11.8,3.0
Andre Drummond,8.4,0.5,9.0,0.6,0.9,3360000.0,30,17.1,6.1
Chris Duarte,3.9,0.7,1.8,0.1,0.5,4124400.0,26,12.2,3.6
Kris Dunn,5.4,3.8,2.9,0.4,1.0,2586665.0,29,18.9,4.7
Kevin Durant,27.1,5.0,6.6,1.2,0.9,47649433.0,35,37.2,19.1
Jalen Duren,13.8,2.4,11.6,0.8,0.5,4330680.0,20,29.1,9.2
Tari Eason,9.8,1.2,7.0,0.9,1.4,3527160.0,22,21.8,8.6
Anthony Edwards,25.9,5.1,5.4,0.5,1.3,13534817.0,22,35.1,19.7
Kessler Edwards,1.7,0.3,0.8,0.1,0.2,1927896.0,23,5.1,1.5
Keon Ellis,5.4,1.5,2.2,0.5,0.9,683430.0,24,17.2,4.1
Joel Embiid,34.7,5.6,11.0,1.7,1.2,47607350.0,29,33.6,21.8
Drew Eubanks,5.1,0.8,4.3,0.8,0.4,2346614.0,26,15.6,3.4
Tosan Evbuomwan,5.9,0.9,3.5,0.3,0.4,135120.0,22,21.6,4.2
Dante Exum,7.8,2.9,2.7,0.1,0.4,3000000.0,28,19.8,5.5
Bruno Fernando,6.3,1.0,4.3,0.6,0.6,2581522.0,25,15.2,4.2
Dorian Finney-Smith,8.5,1.6,4.7,0.6,0.8,13932008.0,30,28.4,7.5
Malachi Flynn,5.5,1.9,1.7,0.1,0.6,3873025.0,25,12.7,4.7
Simone Fontecchio,10.5,1.5,3.7,0.3,0.7,3044872.0,28,24.9,8.3
Trent Forrest,2.2,2.4,1.3,0.1,0.3,533945.0,25,10.9,2.4
Evan Fournier,6.9,1.5,1.8,0.2,0.9,18857143.0,31,18.1,6.9
De'Aaron Fox,26.6,5.6,4.6,0.4,2.0,32600060.0,26,35.9,20.9
Javon Freeman-Liberty,7.0,1.8,3.2,0.2,0.5,289542.0,24,18.3,5.6
Markelle Fultz,7.8,2.8,3.2,0.3,1.0,17000000.0,25,21.2,7.6
Daniel Gafford,11.0,1.6,7.6,2.1,0.9,12402000.0,25,24.5,6.5
Danilo Gallinari,5.7,1.1,2.2,0.1,0.3,7464578.0,35,12.9,3.9
Darius Garland,18.0,6.5,2.7,0.1,1.3,34005250.0,24,33.4,14.8
Usman Garuba,0.5,0.2,1.2,0.5,0.2,2600008.0,21,3.0,1.0
Luka Garza,4.0,0.2,1.2,0.0,0.2,127683.0,25,4.9,3.0
Keyonte George,13.0,4.4,2.8,0.1,0.5,3889800.0,20,27.0,10.9
Paul George,22.6,3.5,5.2,0.5,1.5,45640084.0,33,33.8,16.7
Taj Gibson,1.7,0.6,1.9,0.4,0.2,2961636.0,38,10.2,1.9
Josh Giddey,12.3,4.8,6.4,0.6,0.6,6587040.0,21,25.1,10.6
Harry Giles,2.4,0.3,1.3,0.1,0.1,2019706.0,25,4.3,2.2
Shai Gilgeous-Alexander,30.1,6.2,5.5,0.9,2.0,33386850.0,25,34.0,19.8
Anthony Gill,3.8,0.7,1.9,0.2,0.3,1997238.0,31,9.3,3.2
Rudy Gobert,14.0,1.3,12.9,2.1,0.7,41000000.0,31,34.1,8.1
Jordan Goodwin,6.5,2.7,4.4,0.3,0.8,1927896.0,25,18.5,6.7
Aaron Gordon,13.9,3.5,6.5,0.6,0.8,22266182.0,28,31.5,9.8
Eric Gordon,11.0,2.0,1.8,0.4,1.0,3196448.0,35,27.8,9.1
Devonte' Graham,5.0,2.1,1.6,0.1,0.4,12100000.0,28,13.6,4.7
Jerami Grant,21.0,2.8,3.5,0.6,0.8,27586207.0,29,33.9,15.7
A.J. Green,4.5,0.5,1.1,0.1,0.2,1901769.0,24,11.0,3.5
Danny Green,0.0,0.5,1.0,0.0,0.5,200000.0,36,9.0,1.0
Draymond Green,8.6,6.0,7.2,0.9,1.0,22321429.0,33,27.1,6.8
Jalen Green,19.6,3.5,5.2,0.3,0.8,9891480.0,21,31.7,16.2
Javonte Green,12.2,0.6,7.4,0.9,1.1,243758.0,30,25.6,8.3
Jeff Green,6.5,0.9,2.3,0.4,0.2,9600000.0,37,16.8,4.7
